Barcode,Shift,Updated At,Overall Result,OP100 - DEBURRING,Machine Result
"26040502020101RL","A","2026-04-10T11:13:01.983Z","IN PROGRESS","-","IN PROGRESS"
"26040901920101RL","A","2026-04-10T11:03:36.257Z","IN PROGRESS","OK","OK"
"26040902070101RL","A","2026-04-10T10:13:40.670Z","IN PROGRESS","OK","OK"
"26040901960101RL","A","2026-04-10T09:21:50.267Z","IN PROGRESS","-","IN PROGRESS"
"26040602060101RL","A","2026-04-10T09:16:42.847Z","IN PROGRESS","-","IN PROGRESS"
"26040602130101RL","A","2026-04-10T09:14:38.340Z","IN PROGRESS","-","IN PROGRESS"
"26040602370101RL","B","2026-04-09T15:42:05.197Z","IN PROGRESS","-","IN PROGRESS"
"26040602580101RL","B","2026-04-09T15:29:36.030Z","IN PROGRESS","-","IN PROGRESS"
"26040603240101RL","B","2026-04-09T15:18:34.903Z","IN PROGRESS","OK","OK"
"26040602340101RL","B","2026-04-09T14:29:36.477Z","IN PROGRESS","-","IN PROGRESS"
"26040602670101RL","A","2026-04-09T13:30:23.130Z","IN PROGRESS","-","IN PROGRESS"
"26040602500101RL","A","2026-04-09T13:09:02.273Z","IN PROGRESS","OK","OK"
"26040602610101RL","A","2026-04-09T12:54:43.680Z","IN PROGRESS","-","IN PROGRESS"
"26040602440101RL","A","2026-04-09T12:50:24.707Z","NG","-","IN PROGRESS"
"26040602490101RL","A","2026-04-09T12:21:23.503Z","NG","OK","OK"
"26040602540101RL","A","2026-04-09T12:08:40.077Z","IN PROGRESS","OK","OK"
"26040602690101RL","A","2026-04-09T11:52:56.900Z","NG","OK","OK"
"26040602570101RL","A","2026-04-09T11:39:15.857Z","IN PROGRESS","-","IN PROGRESS"
"26040603230101RL","A","2026-04-09T11:18:37.477Z","IN PROGRESS","OK","OK"
"26040602650101RL","A","2026-04-09T11:07:27.480Z","IN PROGRESS","OK","OK"
"26040602640101RL","A","2026-04-09T10:54:41.447Z","IN PROGRESS","OK","OK"
"26040602630101RL","A","2026-04-09T10:42:59.350Z","NG","OK","OK"
"26040602410101RL","A","2026-04-09T09:47:45.397Z","IN PROGRESS","OK","OK"
"26040602700101RL","A","2026-04-09T09:34:43.000Z","NG","OK","OK"
"26040602660101RL","A","2026-04-09T09:10:08.220Z","IN PROGRESS","OK","OK"
"26040602390101RL","A","2026-04-09T08:49:52.750Z","IN PROGRESS","OK","OK"
"26040602590101RL","A","2026-04-09T08:38:50.880Z","IN PROGRESS","OK","OK"
"26040602560101RL","A","2026-04-09T08:21:02.427Z","IN PROGRESS","-","IN PROGRESS"
"26040602600101RL","A","2026-04-09T07:57:08.647Z","IN PROGRESS","-","IN PROGRESS"
"26040602550101RL","A","2026-04-09T07:43:03.247Z","IN PROGRESS","OK","OK"
"26040602510101RL","A","2026-04-09T07:28:05.570Z","NG","OK","OK"
"26040602430101RL","A","2026-04-09T07:16:58.597Z","IN PROGRESS","OK","OK"
